Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
1;19300156903;"Foundations and Trends in Machine Learning";journal;"19358245, 19358237";13,775;Q1;36;2;15;173;851;15;39,10;86,50;United States;Northern America;"Now Publishers Inc";"2008-2022";"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
2;23080;"Advances in Computers";book series;"00652458";9,308;Q1;38;43;119;1679;433;2;2,79;39,05;United States;Northern America;"Academic Press Inc.";"1960-1962, 1964, 1966-1967, 1969-1973, 1975-2000, 2002-2022";"Computer Science (miscellaneous) (Q1)";"Computer Science"
3;18902;"IEEE Journal on Selected Areas in Communications";journal;"07338716";7,656;Q1;251;242;685;11676;11104;660;16,98;48,25;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1983-2022";"Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
4;19600166419;"Foundations and Trends in Signal Processing";journal;"19328346, 19328354";6,676;Q1;19;2;6;223;85;6;19,00;111,50;United States;Northern America;"Now Publishers Inc";"2007-2014, 2016-2022";"Signal Processing (Q1)";"Computer Science"
5;21100831443;"Nature Biomedical Engineering";journal;"2157846X";6,625;Q1;97;172;448;9207;7366;337;17,79;53,53;United States;Northern America;"Nature Publishing Group";"2017-2022";"Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Computer Science Applications (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Computer Science; Engineering; Medicine"
6;18935;"IEEE Wireless Communications";journal;"15361284";6,556;Q1;177;184;467;1737;6538;430;12,42;9,44;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2002-2022";"Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
7;21100886132;"Science Robotics";journal;"24709476";6,479;Q1;79;90;293;4518;5483;236;13,96;50,20;United States;Northern America;"American Association for the Advancement of Science";"2016-2022";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Optimization (Q1); Mechanical Engineering (Q1)";"Computer Science; Engineering; Mathematics"
8;4700152228;"Molecular Systems Biology";journal;"17444292";6,220;Q1;164;65;224;4390;2203;204;8,76;67,54;United States;Northern America;"Wiley-Blackwell";"2005-2022";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science; Immunology and Microbiology; Mathematics; Medicine"
9;21101007236;"Nature Machine Intelligence";journal;"25225839";6,210;Q1;47;153;338;7112;6247;220;16,66;46,48;Switzerland;Western Europe;"Springer Nature Switzerland AG";"2019-2022";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
10;24212;"Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition";conference and proceedings;"10636919";5,952;-;470;2074;4420;113639;128436;4415;23,46;54,79;United States;Northern America;"IEEE Computer Society";"1992, 1994, 1996-2001, 2003-2004, 2006-2007, 2010-2021";"Computer Vision and Pattern Recognition; Software";"Computer Science"
11;25037;"IEEE Transactions on Evolutionary Computation";journal;"1089778X";5,767;Q1;199;234;245;6634;4366;242;13,83;28,35;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1997-2022";"Computational Theory and Mathematics (Q1); Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
12;18933;"IEEE Transactions on Wireless Communications";journal;"15361276";5,662;Q1;241;949;1588;31379;18793;1587;11,49;33,07;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2002-2022";"Applied Mathematics (Q1); Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering; Mathematics"
13;110561;"Proceedings of the IEEE International Conference on Computer Vision";conference and proceedings;"15505499";5,662;-;313;0;3061;0;52925;3055;8,34;0,00;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1995, 1998-1999, 2001, 2003, 2005, 2007, 2009, 2011, 2013, 2015-2017, 2019, 2021";"Computer Vision and Pattern Recognition; Software";"Computer Science"
14;17915;"Proceedings of the IEEE";journal;"15582256, 00189219";5,564;Q1;312;105;344;11399;7177;336;21,58;108,56;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1963-2022";"Computer Science (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
15;21100274221;"IEEE Transactions on Cybernetics";journal;"21682275, 21682267";5,365;Q1;162;1564;1402;54875;21483;1402;14,77;35,09;United States;Northern America;"IEEE Advancing Technology for Humanity";"2013-2022";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1)";"Computer Science; Engineering"
16;5100155078;"Foundations and Trends in Computer Graphics and Vision";journal;"15722740";5,329;Q1;27;1;4;195;110;4;50,00;195,00;United States;Northern America;"Now Publishers Inc";"2005-2007, 2009-2016, 2018-2022";"Computer Vision and Pattern Recognition (Q1)";"Computer Science"
17;17249;"IEEE Communications Magazine";journal;"01636804";5,285;Q1;272;199;686;1904;6869;561;10,39;9,57;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1979-2022";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
18;19700170610;"IEEE Transactions on Smart Grid";journal;"19493053";5,118;Q1;211;521;1461;15031;19016;1458;11,50;28,85;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2010-2022";"Computer Science (miscellaneous) (Q1)";"Computer Science"
19;144974;"Journal of Service Research";journal;"10946705, 15527379";4,981;Q1;137;53;95;4274;1416;85;15,36;80,64;United States;Northern America;"SAGE Publications Inc.";"1998-2022";"Information Systems (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Computer Science; Social Sciences"
20;15631;"International Journal of Information Management";journal;"02684012";4,906;Q1;152;88;546;9622;13606;529;24,41;109,34;United Kingdom;Western Europe;"Elsevier Ltd.";"1970, 1986-2023";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
21;5200152836;"Synthesis Lectures on Communication Networks";book series;"19354185";4,854;Q1;11;0;2;0;33;2;16,50;0,00;United States;Northern America;"Morgan and Claypool Publishers";"2006, 2009-2018, 2020";"Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Software (Q1)";"Computer Science"
22;26099;"Information Fusion";journal;"18726305, 15662535";4,756;Q1;136;133;483;11852;10631;471;23,14;89,11;Netherlands;Western Europe;"Elsevier";"2000-2023";"Hardware and Architecture (Q1); Information Systems (Q1); Signal Processing (Q1); Software (Q1)";"Computer Science"
23;21101101212;"AI Open";journal;"26666510";4,726;Q1;10;20;26;1425;803;24;30,88;71,25;China;Asiatic Region;"KeAi Communications Co.";"2020-2022";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1)";"Computer Science"
24;23038;"ACM Computing Surveys";journal;"03600300, 15577341";4,457;Q1;190;222;450;36137;9398;450;20,26;162,78;United States;Northern America;"Association for Computing Machinery (ACM)";"1969-2023";"Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
25;24254;"IEEE Transactions on Pattern Analysis and Machine Intelligence";journal;"01628828";4,447;Q1;397;907;802;45508;17867;793;21,86;50,17;United States;Northern America;"IEEE Computer Society";"1978-2022";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1)";"Computer Science; Mathematics"
26;21101081601;"PRX Quantum";journal;"26913399";4,415;Q1;28;220;274;17116;2669;271;9,74;77,80;United States;Northern America;"American Physical Society";"2020-2022";"Applied Mathematics (Q1); Computer Science (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Mathematical Physics (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Computer Science; Engineering; Materials Science; Mathematics; Physics and Astronomy"
27;19400158592;"Mathematical Programming Computation";journal;"18672949, 18672957";4,377;Q1;40;22;58;1186;789;57;6,62;53,91;Germany;Western Europe;"Springer Verlag";"2009-2022";"Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
28;17339;"IEEE Transactions on Automatic Control";journal;"00189286, 15582523";4,334;Q1;314;1028;1599;22816;11894;1598;6,48;22,19;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1963-2022";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
29;27239;"IEEE Network";journal;"08908044, 1558156X";4,266;Q1;143;253;672;2438;7683;643;10,65;9,64;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1986-2022";"Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1)";"Computer Science"
30;12396;"Journal of Strategic Information Systems";journal;"09638687";4,011;Q1;104;21;75;1819;1266;62;7,26;86,62;Netherlands;Western Europe;"Elsevier";"1991-2022";"Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
31;100147317;"Journal of Supply Chain Management";journal;"15232409, 1745493X";4,009;Q1;104;22;56;2133;634;53;12,58;96,95;United States;Northern America;"Wiley-Blackwell";"1999-2022";"Economics, Econometrics and Finance (miscellaneous) (Q1); Information Systems (Q1); Management Information Systems (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance"
32;144912;"IEEE Transactions on Industrial Informatics";journal;"15513203";4,002;Q1;170;1290;2128;28640;28561;2080;12,95;22,20;United States;Northern America;"IEEE Computer Society";"2005-2022";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Information Systems (Q1)";"Computer Science; Engineering"
33;12996;"IEEE Signal Processing Magazine";journal;"10535888";3,939;Q1;200;75;271;2074;3274;235;11,90;27,65;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1991-2022";"Applied Mathematics (Q1); Electrical and Electronic Engineering (Q1); Music (Q1); Signal Processing (Q1)";"Arts and Humanities; Computer Science; Engineering; Mathematics"
34;21101073279;"Annual Review of Control, Robotics, and Autonomous Systems";journal;"25735144";3,891;Q1;31;27;61;3221;943;61;14,28;119,30;United States;Northern America;"Annual Reviews Inc.";"2018-2022";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Engineering (miscellaneous) (Q1); Human-Computer Interaction (Q1)";"Computer Science; Engineering"
35;17700156773;"Synthesis Lectures on Artificial Intelligence and Machine Learning";book series;"19394616, 19394608";3,886;Q1;29;30;10;420;304;6;40,86;14,00;United States;Northern America;"Morgan and Claypool Publishers";"2009-2022";"Artificial Intelligence (Q1)";"Computer Science"
36;12402;"MIS Quarterly: Management Information Systems";journal;"02767783, 21629730";3,793;Q1;257;0;173;0;1780;170;8,46;0,00;United States;Northern America;"Management Information Systems Research Center";"1980-2021";"Computer Science Applications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
37;21100338350;"IEEE Internet of Things Journal";journal;"23274662";3,747;Q1;149;2193;3228;85953;40047;3186;11,61;39,19;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2014-2022";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Information Systems and Management (Q1); Signal Processing (Q1)";"Computer Science; Decision Sciences"
38;24972;"ACM Transactions on Graphics";journal;"15577368, 07300301";3,697;Q1;238;287;793;17986;7597;793;7,27;62,67;United States;Northern America;"Association for Computing Machinery (ACM)";"1982-2022";"Computer Graphics and Computer-Aided Design (Q1)";"Computer Science"
39;21100420802;"GigaScience";journal;"2047217X";3,697;Q1;76;150;411;8312;3784;411;8,36;55,41;United Kingdom;Western Europe;"Oxford University Press";"2012-2022";"Computer Science Applications (Q1); Health Informatics (Q1)";"Computer Science; Medicine"
40;21100262320;"IEEE Transactions on Systems, Man, and Cybernetics: Systems";journal;"21682216, 21682232";3,688;Q1;159;788;1391;29800;15332;1384;9,63;37,82;United States;Northern America;"IEEE Advancing Technology for Humanity";"2011-2022";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1)";"Computer Science; Engineering"
41;17645;"Computers and Education";journal;"03601315";3,682;Q1;215;185;608;14309;9988;606;15,58;77,35;United Kingdom;Western Europe;"Elsevier Ltd.";"1976-2022";"Computer Science (miscellaneous) (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
42;19169;"Journal of Operations Management";journal;"02726963";3,679;Q1;210;49;123;4287;1080;114;7,60;87,49;Netherlands;Western Europe;"John Wiley &amp; Sons Inc.";"1980-1991, 1993-2022";"Computer Science Applications (Q1); Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
43;22238;"Operations Research";journal;"0030364X, 15265463";3,579;Q1;154;194;305;8832;1300;305;3,12;45,53;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1969-2022";"Computer Science Applications (Q1); Management Science and Operations Research (Q1)";"Computer Science; Decision Sciences"
44;21101012669;"npj Digital Medicine";journal;"23986352";3,552;Q1;64;191;439;9478;6427;376;14,85;49,62;United Kingdom;Western Europe;"Nature Publishing Group";"2018-2022";"Computer Science Applications (Q1); Health Informatics (Q1); Health Information Management (Q1); Medicine (miscellaneous) (Q1)";"Computer Science; Health Professions; Medicine"
45;24242;"IEEE Transactions on Fuzzy Systems";journal;"10636706";3,533;Q1;211;569;818;20686;9866;810;11,58;36,36;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1993-2022";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Control and Systems Engineering (Q1)";"Computer Science; Engineering; Mathematics"
46;21100235616;"IEEE Transactions on Neural Networks and Learning Systems";journal;"2162237X, 21622388";3,447;Q1;234;1592;1560;32858;19156;1549;11,06;20,64;United States;Northern America;"IEEE Computational Intelligence Society";"2012-2022";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Software (Q1)";"Computer Science"
47;21100854831;"IEEE Transactions on Cognitive Communications and Networking";journal;"23327731";3,419;Q1;44;144;299;6306;2582;290;9,10;43,79;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2015-2022";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Hardware and Architecture (Q1)";"Computer Science"
48;4000151805;"Foundations and Trends in Communications and Information Theory";journal;"15672190, 15672328";3,415;Q1;28;3;11;605;73;11;4,00;201,67;United States;Northern America;"Now Publishers Inc";"2004-2022";"Applied Mathematics (Q1); Computer Networks and Communications (Q1)";"Computer Science; Mathematics"
49;21101075718;"AVS Quantum Science";journal;"26390213";3,413;Q1;18;70;55;5282;525;53;9,44;75,46;United States;Northern America;"American Institute of Physics";"2019-2022";"Atomic and Molecular Physics, and Optics (Q1); Computational Theory and Mathematics (Q1); Computer Networks and Communications (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Physical and Theoretical Chemistry (Q1)";"Chemistry; Computer Science; Engineering; Materials Science; Physics and Astronomy"
50;72242;"International Journal of Computer Vision";journal;"09205691, 15731405";3,369;Q1;209;151;413;11858;6514;399;16,45;78,53;Netherlands;Western Europe;"Springer Netherlands";"1987-2022";"Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1)";"Computer Science"
51;27843;"Annual Reviews in Control";journal;"13675788";3,343;Q1;93;57;180;7110;2154;167;10,37;124,74;United Kingdom;Western Europe;"Elsevier Ltd.";"1996-2022";"Control and Systems Engineering (Q1); Software (Q1)";"Computer Science; Engineering"
52;16965;"Internet and Higher Education";journal;"10967516";3,327;Q1;109;25;72;1811;902;72;11,78;72,44;United Kingdom;Western Europe;"Elsevier BV";"1998-2023";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
53;29161;"ISPRS Journal of Photogrammetry and Remote Sensing";journal;"09242716";3,308;Q1;174;261;735;17984;10707;730;14,03;68,90;Netherlands;Western Europe;"Elsevier";"1989-2022";"Atomic and Molecular Physics, and Optics (Q1); Computer Science Applications (Q1); Computers in Earth Sciences (Q1); Engineering (miscellaneous) (Q1); Geography, Planning and Development (Q1)";"Computer Science; Earth and Planetary Sciences; Engineering; Physics and Astronomy; Social Sciences"
54;21100827946;"npj Quantum Information";journal;"20566387";3,305;Q1;58;145;383;7628;3387;382;7,60;52,61;United Kingdom;Western Europe;"Nature Partner Journals";"2015-2022";"Computational Theory and Mathematics (Q1); Computer Networks and Communications (Q1); Computer Science (miscellaneous) (Q1); Statistical and Nonlinear Physics (Q1)";"Computer Science; Physics and Astronomy"
55;2300147402;"Proceedings of the Annual ACM Symposium on Theory of Computing";conference and proceedings;"07378017";3,260;-;115;136;372;5704;1698;366;4,23;41,94;United States;Northern America;"Association for Computing Machinery (ACM)";"1969-1982, 1984, 1988, 1991-1994, 1996, 2000, 2005-2022";"Software";"Computer Science"
56;15574;"Information Systems Research";journal;"15265536, 10477047";3,257;Q1;177;74;218;5461;1444;217;5,64;73,80;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1990-2022";"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
57;21100367773;"IEEE/CAA Journal of Automatica Sinica";journal;"23299266, 23299274";3,218;Q1;67;233;442;9840;5310;437;13,39;42,23;United States;Northern America;"IEEE Advancing Technology for Humanity";"2014-2022";"Artificial Intelligence (Q1); Control and Optimization (Q1); Control and Systems Engineering (Q1); Information Systems (Q1)";"Computer Science; Engineering; Mathematics"
58;17271;"Medical Image Analysis";journal;"13618415, 13618423";3,195;Q1;159;294;667;18551;9616;663;12,41;63,10;Netherlands;Western Europe;"Elsevier";"1996-2022";"Computer Graphics and Computer-Aided Design (Q1); Computer Vision and Pattern Recognition (Q1); Health Informatics (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";"Computer Science; Health Professions; Medicine"
59;26053;"IEEE Transactions on Industrial Electronics";journal;"02780046";3,194;Q1;323;1580;3290;37053;31194;3284;8,41;23,45;United States;Northern America;"";"1969-1978, 1982-2023";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
60;5100155071;"Foundations and Trends in Information Retrieval";journal;"15540669, 15540677";3,128;Q1;35;1;10;278;171;10;19,00;278,00;United States;Northern America;"Now Publishers Inc";"2006, 2008-2022";"Computer Science (miscellaneous) (Q1); Information Systems (Q1)";"Computer Science"
61;15700;"Journal of Management Information Systems";journal;"1557928X, 07421222";3,064;Q1;161;43;134;3488;1071;127;6,00;81,12;United States;Northern America;"M.E. Sharpe Inc.";"1987-2022";"Computer Science Applications (Q1); Information Systems and Management (Q1); Management Information Systems (Q1); Management Science and Operations Research (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
62;21100850798;"npj Computational Materials";journal;"20573960";2,977;Q1;64;260;515;17516;5695;513;9,05;67,37;United Kingdom;Western Europe;"Nature Publishing Group";"2015-2022";"Computer Science Applications (Q1); Materials Science (miscellaneous) (Q1); Mechanics of Materials (Q1); Modeling and Simulation (Q1)";"Computer Science; Engineering; Materials Science; Mathematics"
63;18144;"Computer-Aided Civil and Infrastructure Engineering";journal;"14678667, 10939687";2,962;Q1;99;164;279;9687;3169;235;10,66;59,07;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1986-2022";"Civil and Structural Engineering (Q1); Computational Theory and Mathematics (Q1); Computer Graphics and Computer-Aided Design (Q1); Computer Science Applications (Q1)";"Computer Science; Engineering"
64;23127;"Journal of the ACM";journal;"00045411, 1557735X";2,953;Q1;133;44;114;2233;407;104;3,37;50,75;United States;Northern America;"Association for Computing Machinery (ACM)";"1954-2022";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1)";"Computer Science; Engineering"
65;21101070921;"IEEE Open Journal of the Communications Society";journal;"2644125X";2,950;Q1;26;145;277;8896;2215;275;8,00;61,35;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2020-2022";"Computer Networks and Communications (Q1)";"Computer Science"
66;17945;"Bioinformatics";journal;"13674803, 14602059";2,940;Q1;442;958;2939;22762;21076;2925;6,05;23,76;United Kingdom;Western Europe;"Oxford University Press";"1985-2022";"Biochemistry (Q1); Computational Mathematics (Q1); Computational Theory and Mathematics (Q1); Computer Science Applications (Q1); Molecular Biology (Q1); Statistics and Probability (Q1)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Mathematics"
67;21100200203;"Wiley Interdisciplinary Reviews: Computational Molecular Science";journal;"17590876, 17590884";2,889;Q1;98;78;131;12659;1679;130;14,09;162,29;United States;Northern America;"John Wiley &amp; Sons Inc.";"2011-2022";"Biochemistry (Q1); Computational Mathematics (Q1); Computer Science Applications (Q1); Materials Chemistry (Q1); Physical and Theoretical Chemistry (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Computer Science; Materials Science; Mathematics"
68;20893;"Transportation Research Part C: Emerging Technologies";journal;"0968090X";2,882;Q1;164;330;1026;19364;10921;1020;9,11;58,68;United Kingdom;Western Europe;"Elsevier Ltd.";"1993-2022";"Automotive Engineering (Q1); Civil and Structural Engineering (Q1); Computer Science Applications (Q1); Management Science and Operations Research (Q1); Transportation (Q1)";"Computer Science; Decision Sciences; Engineering; Social Sciences"
69;18080;"Robotics and Computer-Integrated Manufacturing";journal;"07365845";2,881;Q1;111;161;447;8511;5569;445;13,33;52,86;United Kingdom;Western Europe;"Elsevier Ltd.";"1984-1994, 1996-2023";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Industrial and Manufacturing Engineering (Q1); Mathematics (miscellaneous) (Q1); Software (Q1)";"Computer Science; Engineering; Mathematics"
70;21101080486;"Array";journal;"25900056";2,880;Q1;7;94;11;4979;218;11;4,50;52,97;Netherlands;Western Europe;"Elsevier BV";"2019, 2021-2022";"Computer Science (miscellaneous) (Q1)";"Computer Science"
71;18204;"Proceedings - IEEE INFOCOM";conference and proceedings;"0743166X";2,877;-;237;227;813;8754;4655;806;4,68;38,56;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1983-2022";"Computer Science (miscellaneous); Electrical and Electronic Engineering";"Computer Science; Engineering"
72;16733;"IEEE Transactions on Medical Imaging";journal;"02780062, 1558254X";2,872;Q1;246;396;982;16620;12453;981;11,56;41,97;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1982-2022";"Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1); Radiological and Ultrasound Technology (Q1); Software (Q1)";"Computer Science; Engineering; Health Professions"
73;21100779064;"Soft Robotics";journal;"21695172";2,859;Q1;63;99;186;4491;2185;186;10,55;45,36;United States;Northern America;"Mary Ann Liebert Inc.";"2014-2022";"Artificial Intelligence (Q1); Biophysics (Q1); Control and Systems Engineering (Q1)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Engineering"
74;17393;"IEEE Transactions on Vehicular Technology";journal;"00189545, 19399359";2,802;Q1;204;1343;3663;41352;30622;3650;7,72;30,79;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1967-2022";"Aerospace Engineering (Q1); Applied Mathematics (Q1); Automotive Engineering (Q1); Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering; Mathematics"
75;12321;"Information Systems Journal";journal;"13501917, 13652575";2,748;Q1;100;57;126;5541;1166;104;7,41;97,21;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1991-2022";"Computer Networks and Communications (Q1); Information Systems (Q1); Software (Q1)";"Computer Science"
76;14966;"Journal of Manufacturing Systems";journal;"02786125";2,742;Q1;92;228;458;14429;6034;450;13,73;63,29;Netherlands;Western Europe;"Elsevier";"1982-2022";"Control and Systems Engineering (Q1); Hardware and Architecture (Q1); Industrial and Manufacturing Engineering (Q1); Software (Q1)";"Computer Science; Engineering"
77;18050;"International Journal of Robotics Research";journal;"02783649, 17413176";2,729;Q1;180;59;251;3439;2407;244;10,56;58,29;United States;Northern America;"SAGE Publications Inc.";"1982-2022";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Electrical and Electronic Engineering (Q1); Mechanical Engineering (Q1); Modeling and Simulation (Q1); Software (Q1)";"Computer Science; Engineering; Mathematics"
78;12137;"Journal of Statistical Software";journal;"15487660";2,722;Q1;169;51;185;2525;1425;184;5,62;49,51;United States;Northern America;"University of California at Los Angeles";"1996-2022";"Software (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Computer Science; Decision Sciences; Mathematics"
79;95101;"IEEE Transactions on Robotics";journal;"15523098";2,716;Q1;177;280;378;13054;3913;378;10,22;46,62;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1992, 2004-2022";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
80;21100791292;"Journal of Big Data";journal;"21961115";2,714;Q1;61;124;375;6388;6436;375;10,43;51,52;United Kingdom;Western Europe;"SpringerOpen";"2014-2022";"Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Information Systems and Management (Q1)";"Computer Science; Decision Sciences"
81;12303;"Information and Management";journal;"03787206";2,688;Q1;182;121;318;11119;3829;314;11,23;91,89;Netherlands;Western Europe;"Elsevier";"1977-2022";"Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
82;8000153138;"Computer Science Review";journal;"15740137";2,685;Q1;60;23;163;3817;2554;161;15,72;165,96;Ireland;Western Europe;"Elsevier Ireland Ltd";"2007-2022";"Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
83;18378;"IEEE Transactions on Intelligent Transportation Systems";journal;"15580016, 15249050";2,674;Q1;182;2153;1478;95123;17482;1463;11,49;44,18;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2000-2022";"Automotive Engineering (Q1); Computer Science Applications (Q1); Mechanical Engineering (Q1)";"Computer Science; Engineering"
84;4000149002;"IEEE Transactions on Information Forensics and Security";journal;"15566013";2,652;Q1;154;283;907;13380;7906;907;8,03;47,28;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2006-2022";"Computer Networks and Communications (Q1); Safety, Risk, Reliability and Quality (Q1)";"Computer Science; Engineering"
